mode,profile,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_rate,mean_confidence,stale_output_rate,fallback_rate,mode_switch_count,total_bandwidth_kb,bandwidth_per_frame_kb,reliability_score
local_only,stable,500,24.659636963835982,33.65743372370718,34.78621299907881,0.0,0.7244825910520335,0.0,0.0,0,0.0,0.0,0.7244825910520335
edge_only,stable,500,97.58063612172484,120.364913566824,123.50318704014107,0.468,0.8711128497960752,0.0,0.012,0,12350.0,24.7,0.463432036091512
cloud_only,stable,500,206.0520321625144,242.55824183797952,247.0553551830723,0.988,0.8860847803584895,0.0,0.012,0,17290.0,34.58,0.010633017364301884
dapper,stable,500,31.08378180643449,78.19715362509542,79.47249770916143,0.0,0.7430127353370305,0.0,0.0,0,1550.0,3.1,0.7430127353370305
local_only,congested,500,24.659636963835982,33.65743372370718,34.78621299907881,0.0,0.7244825910520335,0.0,0.0,0,0.0,0.0,0.7244825910520335
edge_only,congested,500,152.7691652724925,192.30279090961167,198.59716749434094,0.946,0.8650715519292749,0.0,0.054,0,11825.0,23.65,0.04671386380418088
cloud_only,congested,500,262.9920135643052,322.4293208585771,329.3548684912875,0.946,0.8794039667983496,0.0,0.054,0,16555.0,33.11,0.04748781420711092
dapper,congested,500,24.614496693822993,33.65435425689383,34.846218647855636,0.0,0.7250758477777667,0.0,0.0,2,0.0,0.0,0.7250758477777667
local_only,lossy,500,24.659636963835982,33.65743372370718,34.78621299907881,0.0,0.7244825910520335,0.0,0.0,0,0.0,0.0,0.7244825910520335
edge_only,lossy,500,96.08477980147657,140.70072208943293,144.97519587555027,0.624,0.8400388565381557,0.0,0.224,0,9700.0,19.4,0.31585461005834653
cloud_only,lossy,500,182.3183785277376,263.3190136761369,268.92367924566133,0.776,0.8517535232322925,0.0,0.224,0,13580.0,27.16,0.1907927892040335
dapper,lossy,500,25.134394610185055,33.61041626699948,34.66884488332486,0.0,0.7266554661610503,0.0,0.0,182,25.0,0.05,0.7266554661610503
local_only,variable,500,24.659636963835982,33.65743372370718,34.78621299907881,0.0,0.7244825910520335,0.0,0.0,0,0.0,0.0,0.7244825910520335
edge_only,variable,500,102.45708119403001,166.27031504590283,176.2650619999144,0.68,0.8354229435980463,0.0,0.268,0,9150.0,18.3,0.26733534195137476
cloud_only,variable,500,185.5280895082857,290.17905183187355,302.1158440371322,0.732,0.8464108890420285,0.0,0.268,0,12810.0,25.62,0.22683811826326367
dapper,variable,500,20.321637907926345,33.61309390919,34.722673850974545,0.0,0.7276179721895403,0.188,0.208,121,25.0,0.05,0.6592218828037235
local_only,outage,500,24.659636963835982,33.65743372370718,34.78621299907881,0.0,0.7244825910520335,0.0,0.0,0,0.0,0.0,0.7244825910520335
edge_only,outage,500,55.63469284154848,304.6778516014754,350.97215169714895,0.112,0.741899915473979,0.0,0.888,0,1400.0,2.8,0.6588071249408934
cloud_only,outage,500,68.80848811577293,418.42613743401364,479.17756552042243,0.112,0.7436018362654363,0.0,0.888,0,1960.0,3.92,0.6603184306037074
dapper,outage,500,4.161813415535866,28.12352944503025,33.24370057651381,0.0,0.7209191687463454,0.87,0.99,96,0.0,0.0,0.4073193303416851
